curie	type	label	parent	parent label	role	role label	function types	description	modified date
ID	TYPE	AT rdfs:label^^xsd:string	SC %		SC 'has role' some %		SC 'has function type' some % SPLIT=|	AT dcterms:description^^xsd:string	AT dcterms:modified^^xsd:date
BSEO:0000127	class	aug-cc-pV5Z-PP-RIFIT	BSEO:0100026	dunning_pp_fit	BSEO:0200009	rifit	BSEO:0300001|BSEO:0300002		2012-06-26
BSEO:0000128	class	aug-cc-pV5Z-RIFIT	BSEO:0100023	dunning_fit	BSEO:0200009	rifit	BSEO:0300001|BSEO:0300002	RI Fitting basis for use with aug-cc-pV5Z	2014-05-13
BSEO:0000129	class	aug-cc-pV6Z	BSEO:0100018	dunning	BSEO:0200008	orbital	BSEO:0300001|BSEO:0300002		2007-01-15
BSEO:0000130	class	aug-cc-pV6Z-RIFIT	BSEO:0100023	dunning_fit	BSEO:0200009	rifit	BSEO:0300001|BSEO:0300002	RI Fitting basis for use with aug-cc-pV6Z	2008-11-06
BSEO:0000131	class	aug-cc-pV7Z	BSEO:0100018	dunning	BSEO:0200008	orbital	BSEO:0300001|BSEO:0300002		2017-10-11
BSEO:0000132	class	aug-cc-pVDZ	BSEO:0100018	dunning	BSEO:0200008	orbital	BSEO:0300001|BSEO:0300002		2007-01-15
BSEO:0000133	class	aug-cc-pVDZ-DK	BSEO:0100019	dunning_dk	BSEO:0200008	orbital	BSEO:0300001|BSEO:0300002	VDZ2PD All-electron Douglas-Kroll Valence Double Zeta + Polarization	2011-02-18
BSEO:0000134	class	aug-cc-pVDZ-DK3	BSEO:0100020	dunning_dk3	BSEO:0200008	orbital	BSEO:0300001|BSEO:0300002		2019-10-02
BSEO:0000135	class	aug-cc-pVDZ-OPTRI	BSEO:0100023	dunning_fit	BSEO:0200007	optri	BSEO:0300001|BSEO:0300002		2010-05-19
BSEO:0000136	class	aug-cc-pVDZ-PP	BSEO:0100025	dunning_pp	BSEO:0200008	orbital	BSEO:0300001|BSEO:0300002|BSEO:0300004		2008-10-14
BSEO:0000137	class	aug-cc-pVDZ-PP-OPTRI	BSEO:0100026	dunning_pp_fit	BSEO:0200007	optri	BSEO:0300001|BSEO:0300002		2012-06-26
BSEO:0000138	class	aug-cc-pVDZ-PP-RIFIT	BSEO:0100026	dunning_pp_fit	BSEO:0200009	rifit	BSEO:0300001|BSEO:0300002		2012-06-26
BSEO:0000139	class	aug-cc-pVDZ-RIFIT	BSEO:0100023	dunning_fit	BSEO:0200009	rifit	BSEO:0300001|BSEO:0300002	RI Fitting basis for use with aug-cc-pVDZ	2008-11-06
BSEO:0000140	class	aug-cc-pVDZ-X2C	BSEO:0100028	dunning_x2c	BSEO:0200008	orbital	BSEO:0300001|BSEO:0300002		2019-10-02
BSEO:0000141	class	aug-cc-pVQZ	BSEO:0100018	dunning	BSEO:0200008	orbital	BSEO:0300001|BSEO:0300002		2009-01-26
